DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LU,1996,27566,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LU,1997,24355,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LU,1998,27155,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LU,1999,26957,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LU,2000,22816,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LV,1995,39141,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LV,1996,38205,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LV,1997,36865,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LV,1998,36674,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LV,1999,43969,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,LV,2000,50199,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,MK,2000,19814,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,MT,1998,14793,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,MT,1999,16031,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,MT,2000,17016,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1991,1181800,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1992,1268500,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1993,1272500,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1994,1313600,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1995,1226700,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1996,1186512,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1997,1219935,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1998,1234900,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,1999,1303446,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NL,2000,1328909,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NO,1991,223122,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NO,1992,234904,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NO,1993,230180,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NO,1994,234941,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,NO,1995,267925,
